iter	Passed	Remaining
401	16214	24119
402	16253	24077
403	16286	24027
404	16323	23981
405	16363	23941
406	16400	23895
407	16436	23848
408	16476	23808
409	16523	23777
410	16568	23744
411	16617	23716
412	16666	23688
413	16709	23651
414	16746	23606
415	16786	23565
416	16823	23521
417	16859	23473
418	16897	23431
419	16933	23384
420	16973	23343
421	17010	23298
422	17044	23250
423	17088	23213
424	17125	23169
425	17162	23124
426	17198	23079
427	17234	23032
428	17272	22989
429	17307	22942
430	17340	22892
431	17376	22847
432	17416	22806
433	17453	22762
434	17492	22720
435	17529	22675
436	17564	22628
437	17599	22582
438	17633	22534
439	17669	22488
440	17703	22440
441	17741	22397
442	17777	22352
443	17812	22305
444	17856	22270
445	17888	22220
446	17923	22173
447	17963	22133
448	18003	22093
449	18040	22049
450	18078	22007
451	18126	21976
452	18159	21927
453	18197	21884
454	18241	21849
455	18277	21804
456	18316	21763
457	18354	21720
458	18396	21683
459	18445	21653
460	18489	21617
461	18528	21576
462	18571	21539
463	18614	21503
464	18658	21467
465	18696	21424
466	18734	21381
467	18774	21342
468	18806	21293
469	18843	21248
470	18882	21207
471	18916	21161
472	18950	21114
473	18988	21071
474	19026	21028
475	19056	20977
476	19095	20937
477	19131	20892
478	19169	20850
479	19214	20815
480	19245	20765
481	19281	20721
482	19315	20674
483	19355	20635
484	19391	20590
485	19428	20548
486	19464	20503
487	19503	20462
488	19543	20423
489	19592	20392
490	19622	20341
491	19655	20294
492	19696	20256
493	19744	20223
494	19775	20175
495	19807	20127
496	19848	20087
497	19881	20041
498	19914	19994
499	19955	19955
500	20000	19921
501	20048	19888
502	20095	19856
503	20140	19820
504	20177	19777
505	20213	19734
506	20244	19685
507	20289	19650
508	20323	19605
509	20364	19566
510	20398	19520
511	20439	19481
512	20485	19447
513	20515	19398
514	20553	19355
515	20587	19310
516	20622	19266
517	20654	19219
518	20690	19175
519	20728	19133
520	20762	19089
521	20794	19042
522	20834	19001
523	20874	18962
524	20908	18917
525	20938	18868
526	20979	18830
527	21017	18788
528	21053	18744
529	21089	18702
530	21127	18660
531	21172	18625
532	21220	18593
533	21262	18554
534	21301	18514
535	21346	18478
536	21389	18441
537	21427	18400
538	21472	18364
539	21518	18330
540	21559	18291
541	21601	18253
542	21644	18216
543	21683	18176
544	21744	18154
545	21798	18125
546	21849	18094
547	21888	18054
548	21934	18018
549	21978	17982
550	22019	17943
551	22068	17910
552	22107	17870
553	22155	17836
554	22202	17802
555	22240	17760
556	22274	17715
557	22315	17676
558	22357	17637
559	22397	17597
560	22440	17560
561	22481	17520
562	22524	17483
563	22569	17447
564	22609	17407
565	22659	17374
566	22702	17336
567	22740	17295
568	22784	17258
569	22832	17224
570	22871	17183
571	22910	17142
572	22952	17104
573	22996	17066
574	23034	17025
575	23080	16989
576	23121	16950
577	23171	16917
578	23214	16879
579	23269	16850
580	23316	16814
581	23354	16773
582	23400	16737
583	23447	16702
584	23493	16666
585	23534	16626
586	23575	16586
587	23620	16550
588	23664	16512
589	23704	16472
590	23745	16433
591	23793	16398
592	23834	16358
593	23872	16316
594	23915	16278
595	23960	16241
596	24000	16201
597	24044	16163
598	24088	16126
599	24127	16085
600	24172	16047
601	24222	16014
602	24266	15976
603	24314	15941
604	24357	15902
605	24418	15876
606	24459	15836
607	24491	15790
608	24542	15757
609	24571	15709
610	24609	15667
611	24651	15628
612	24695	15591
613	24741	15554
