iter	RMSE
463	5095.249594
464	5091.763641
465	5089.188876
466	5087.110657
467	5084.014724
468	5080.52432
469	5074.024758
470	5071.679776
471	5069.426302
472	5065.776906
473	5062.367257
474	5059.642384
475	5057.825809
476	5054.45651
477	5052.79091
478	5047.913486
479	5045.475429
480	5043.393644
481	5041.151543
482	5037.295172
483	5033.544993
484	5032.53247
485	5030.366577
486	5028.174633
487	5025.204122
488	5022.503128
489	5020.898463
490	5017.375745
491	5016.287061
492	5014.472325
493	5012.337162
494	5009.415573
495	5007.048426
496	5005.54576
497	5003.389102
498	4999.604453
499	4997.599236
500	4995.527826
501	4991.821304
502	4989.198911
503	4985.946821
504	4983.52849
505	4979.116638
506	4977.657295
507	4976.088973
508	4973.235192
509	4969.92776
510	4965.181237
511	4962.023115
512	4957.794164
513	4955.589321
514	4952.714494
515	4950.908745
516	4948.378096
517	4945.09532
518	4943.609534
519	4941.903462
520	4938.72607
521	4936.061984
522	4932.88077
523	4931.009983
524	4927.777672
525	4925.466111
526	4923.172332
527	4920.526908
528	4913.845246
529	4911.428208
530	4908.483686
531	4906.781639
532	4903.248381
533	4896.73315
534	4893.312581
535	4890.3326
536	4888.737273
537	4885.871569
538	4881.801637
539	4879.405224
540	4875.934739
541	4874.808998
542	4871.491731
543	4869.744169
544	4866.31838
545	4863.018593
546	4860.182191
547	4858.4455
548	4856.19801
549	4853.324094
550	4852.1268
551	4849.582726
552	4844.882978
553	4842.446043
554	4839.102988
555	4837.670325
556	4836.652387
557	4834.663857
558	4832.815266
559	4830.536014
560	4828.798869
561	4827.535021
562	4825.647955
563	4822.227513
564	4820.418729
565	4818.924885
566	4816.125608
567	4812.441866
568	4810.056923
569	4807.384775
570	4803.567039
571	4801.820848
572	4799.946635
573	4796.974908
574	4795.532029
575	4793.892873
576	4791.936732
577	4790.271363
578	4788.250587
579	4785.818333
580	4783.427958
581	4781.661392
582	4779.928374
583	4776.895616
584	4774.564376
585	4770.987515
586	4769.345058
587	4767.320983
588	4760.121023
589	4758.019019
590	4755.89849
591	4753.314197
592	4751.463899
593	4749.74733
594	4746.386627
595	4743.332866
596	4740.736142
597	4738.145366
598	4735.581372
599	4733.542413
600	4731.321881
601	4729.443399
602	4726.862015
603	4723.996135
604	4722.732334
605	4719.786504
606	4717.839798
607	4714.813296
608	4713.107852
609	4712.085978
610	4711.143071
611	4708.989497
612	4707.914236
613	4706.59472
614	4704.648612
615	4702.27662
616	4699.468922
617	4698.679676
618	4694.238224
619	4692.567699
620	4690.865263
621	4689.235154
622	4688.169308
623	4686.395257
624	4685.77258
625	4684.8485
626	4682.773894
627	4680.531957
628	4679.805184
629	4677.492594
630	4676.100305
631	4673.266802
632	4671.400772
633	4670.056444
634	4668.348551
635	4667.759836
636	4663.134255
637	4661.87997
638	4661.324931
639	4659.789932
640	4657.333159
641	4655.193348
642	4652.948843
643	4651.031451
644	4648.087857
645	4643.000347
646	4642.080825
647	4640.678529
648	4639.054074
649	4637.828383
650	4636.114686
651	4634.989158
652	4632.953815
653	4630.424625
654	4628.323568
655	4627.353139
656	4625.146128
657	4623.221807
658	4622.693634
659	4620.170519
660	4619.1095
661	4617.410309
662	4614.707118
663	4610.977734
664	4609.746195
665	4608.482464
666	4607.243358
667	4604.44555
668	4602.421878
669	4601.117961
670	4598.64935
671	4597.285677
672	4593.806517
673	4592.893722
674	4592.394798
675	4591.001705
676	4589.394364
677	4588.146346
678	4586.39121
679	4583.939451
680	4582.570473
681	4580.818053
682	4579.778921
683	4577.685207
684	4576.080504
685	4574.006126
686	4573.534151
687	4572.024479
688	4570.444228
689	4568.032528
690	4565.72092
691	4564.520193
692	4563.424153
693	4561.22209
694	4560.013761
695	4558.999491
696	4557.612441
697	4556.892234
698	4555.634
699	4552.721621
700	4551.166375
701	4549.510964
702	4548.411468
703	4546.689777
704	4544.329797
705	4543.039987
706	4541.284941
707	4538.98025
708	4536.42248
709	4533.900186
710	4532.4287
711	4530.457606
712	4529.487001
713	4528.561863
714	4526.161714
715	4525.341934
716	4524.028052
717	4521.966225
718	4521.142458
719	4519.085176
720	4516.468275
721	4514.96615
722	4513.786409
723	4512.134032
724	4510.236956
725	4508.370798
726	4506.67108
727	4505.460926
728	4503.632755
729	4502.188882
730	4500.927455
731	4499.353216
732	4496.87429
733	4495.09332
734	4494.452392
735	4493.235817
736	4492.479812
737	4490.275263
738	4489.841183
739	4489.12027
740	4486.966083
741	4486.090868
742	4484.610465
743	4482.999658
744	4480.88178
745	4479.748515
746	4478.626324
747	4476.804496
748	4475.918725
749	4473.751818
750	4471.526966
751	4469.831727
752	4468.01674
753	4466.613127
754	4465.344328
755	4464.297883
756	4462.554551
757	4459.499192
758	4456.176025
759	4455.193711
760	4454.26406
761	4451.85839
762	4447.445875
763	4445.212049
764	4444.812949
765	4443.230271
766	4441.853912
767	4440.04529
768	4438.948631
769	4438.21827
770	4437.384857
771	4435.683064
772	4434.302836
773	4432.949511
774	4431.808999
775	4429.66101
776	4428.835513
777	4426.775954
778	4425.299309
779	4424.618301
780	4423.277373
781	4422.22263
782	4420.633512
783	4419.559545
784	4416.374248
785	4415.276913
786	4413.571471
787	4411.896983
788	4411.046843
789	4410.074427
790	4408.738349
791	4407.077374
792	4405.603808
793	4403.271197
794	4401.874405
795	4400.626128
796	4398.752255
797	4397.678754
798	4396.898167
799	4394.945011
800	4392.455557
801	4391.096985
802	4386.487766
803	4384.71604
804	4384.036394
805	4382.993357
806	4381.982239
807	4379.753735
808	4378.214184
809	4377.111553
810	4375.98852
811	4374.795432
812	4372.308329
813	4370.277199
814	4368.710373
815	4366.601333
816	4365.191106
817	4363.81597
818	4362.331121
819	4361.149348
820	4360.358007
821	4357.20992
822	4356.125659
823	4354.302485
824	4353.527486
825	4352.155133
826	4350.848162
827	4350.048807
828	4348.766131
829	4347.31154
830	4345.586041
831	4344.425132
832	4343.293597
833	4342.007935
834	4340.709825
835	4339.924768
836	4338.542185
837	4337.21452
838	4335.451032
839	4333.779967
840	4331.78384
841	4330.578538
842	4329.928268
843	4328.774503
844	4327.279868
845	4324.278449
846	4323.176721
847	4322.182005
848	4321.150117
849	4320.841164
850	4320.22789
851	4318.327224
852	4317.462678
853	4316.041387
854	4312.621863
855	4312.33449
856	4311.400193
857	4309.614063
858	4308.64556
859	4307.601172
860	4306.108596
861	4305.742572
862	4304.615778
863	4303.523783
864	4301.410778
865	4300.854407
866	4297.965801
867	4297.025473
868	4295.958634
869	4295.019593
870	4294.072777
871	4293.511946
872	4288.934578
873	4287.448629
874	4285.930827
875	4285.304849
876	4283.792
877	4281.95601
878	4280.93921
879	4279.65486
880	4274.290948
881	4268.824522
882	4267.450855
883	4266.212386
884	4264.530231
885	4263.096532
886	4261.643145
887	4259.794128
888	4258.650097
889	4257.520717
890	4256.393381
891	4253.653796
892	4252.113367
893	4250.901949
894	4248.298572
895	4247.289164
896	4246.631993
897	4245.833139
898	4245.030851
899	4243.596444
900	4242.835389
901	4241.446679
902	4240.461529
903	4239.255495
904	4237.709455
905	4236.679962
906	4235.524276
907	4234.246027
908	4233.43775
909	4232.138976
910	4231.20607
911	4229.351236
912	4226.867156
913	4226.331202
914	4224.975326
915	4224.094906
916	4220.741947
917	4219.109581
918	4217.910379
919	4216.636891
920	4215.825745
921	4213.228088
922	4212.431658
923	4211.468033
924	4208.611005
925	4207.525629
926	4206.050684
927	4204.283276
928	4203.958115
929	4202.889895
930	4201.222463
931	4200.155645
932	4198.450425
933	4197.389643
934	4195.278189
935	4194.271302
936	4192.749732
937	4191.433174
938	4190.90158
939	4189.441678
940	4188.31144
941	4187.573689
942	4186.081472
943	4185.051226
944	4184.201984
945	4183.110102
946	4182.215683
947	4181.434513
948	4180.606538
949	4179.194719
950	4177.964819
951	4177.194347
952	4176.021404
953	4174.719964
954	4172.926242
955	4170.234055
956	4169.271634
957	4167.903922
958	4167.092366
959	4166.092644
960	4165.384877
961	4164.549478
962	4161.724929
963	4160.896538
964	4158.524634
965	4157.739497
966	4156.310983
967	4155.622464
968	4154.504495
969	4153.479197
970	4152.221902
971	4151.52544
972	4149.072585
973	4147.750748
974	4146.679759
975	4143.395221
976	4141.810331
977	4141.026487
978	4140.253365
979	4139.33188
980	4137.147886
981	4135.864884
982	4134.9212
983	4134.239673
984	4132.899489
985	4130.913825
986	4129.839874
987	4129.033495
988	4127.768385
989	4126.274514
990	4125.6397
991	4124.913783
992	4124.119309
993	4123.022237
994	4121.888383
995	4120.953531
996	4119.61905
997	4119.185488
998	4117.878982
999	4117.254601
